"No.","Time","Source","Destination","Protocol","Length","Info","Data","Data Length","Bytes"
"35","00:47:49.421917","host","controller","HCI_CMD","5","Sent Read Local Extended Features","","",""
"36","00:47:49.423521","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","",""
"37","00:47:49.424386","host","controller","HCI_CMD","4","Sent LE Read White List Size","","",""
"38","00:47:49.426020","controller","host","HCI_EVT","8","Rcvd Command Complete (LE Read White List Size)","","",""
"39","00:47:49.426930","host","controller","HCI_CMD","6","Sent Write LE Host Supported","","",""
"40","00:47:49.428549","controller","host","HCI_EVT","7","Rcvd Command Complete (Write LE Host Supported)","","",""
"41","00:47:49.429422","host","controller","HCI_CMD","4","Sent LE Read Buffer Size","","",""
"42","00:47:49.431068","controller","host","HCI_EVT","10","Rcvd Command Complete (LE Read Buffer Size)","","",""
"43","00:47:49.432139","host","controller","HCI_CMD","4","Sent LE Read Supported States","","",""
"44","00:47:49.433807","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Supported States)","","",""
"45","00:47:49.434683","host","controller","HCI_CMD","4","Sent LE Read Local Supported Features","","",""
"46","00:47:49.436358","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Local Supported Features)","","",""
"47","00:47:49.437553","host","controller","HCI_CMD","12","Sent LE Set Event Mask","","",""
"48","00:47:49.439548","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Event Mask)","","",""
"49","00:47:49.440640","host","controller","HCI_CMD","5","Sent Write Simple Pairing Mode","","",""
"50","00:47:49.442459","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Simple Pairing Mode)","","",""
"51","00:47:49.443386","host","controller","HCI_CMD","12","Sent Set Event Mask","","",""
"52","00:47:49.446747","controller","host","HCI_EVT","7","Rcvd Command Complete (Set Event Mask)","","",""
"53","00:47:49.447633","host","controller","HCI_CMD","12","Sent LE Set Event Mask","","",""
"54","00:47:49.449438","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Event Mask)","","",""
"55","00:47:49.450313","host","controller","HCI_CMD","5","Sent Write Inquiry Mode","","",""
"56","00:47:49.451939","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Inquiry Mode)","","",""
"57","00:47:49.452806","host","controller","HCI_CMD","5","Sent Write Page Scan Type","","",""
"58","00:47:49.454476","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Page Scan Type)","","",""
"59","00:47:49.455418","host","controller","HCI_CMD","5","Sent Write Inquiry Scan Type","","",""
"60","00:47:49.457015","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Inquiry Scan Type)","","",""
"61","00:47:49.457951","host","controller","HCI_CMD","7","Sent Write Class of Device","","",""
"62","00:47:49.459590","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Class of Device)","","",""
"63","00:47:49.460480","host","controller","HCI_CMD","6","Sent Write Page Timeout","","",""
"64","00:47:49.462197","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Page Timeout)","","",""
"65","00:47:49.463333","host","controller","HCI_CMD","6","Sent Write Default Link Policy Settings","","",""
"66","00:47:49.465036","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Default Link Policy Settings)","","",""
"67","00:47:49.466038","host","controller","HCI_CMD","4","Sent Read Local Name","","",""
"68","00:47:49.467986","controller","host","HCI_EVT","255","Rcvd Command Complete (Read Local Name)","","",""
"69","00:47:49.469355","host","controller","HCI_CMD","252","Sent Change Local Name","","",""
