"No.","Time","Source","Destination","Protocol","Length","Info","Data","Data Length","Bytes"
"89","23:52:30.464668","host","controller","HCI_CMD","36","Sent LE Set Advertising Data","","",""
"90","23:52:30.465587","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Advertising Data)","","",""
"91","23:52:30.466510","host","controller","HCI_CMD","4","Sent Read Buffer Size","","",""
"92","23:52:30.468298","controller","host","HCI_EVT","14","Rcvd Command Complete (Read Buffer Size)","","",""
"93","23:52:30.469192","host","controller","HCI_CMD","8","Sent Write Current IAC LAP","","",""
"94","23:52:30.470936","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Current IAC LAP)","","",""
"95","23:52:30.472083","host","controller","HCI_CMD","4","Sent LE Read Buffer Size","","",""
"96","23:52:30.473078","controller","host","HCI_EVT","10","Rcvd Command Complete (LE Read Buffer Size)","","",""
"97","23:52:30.473916","host","controller","HCI_CMD","8","Sent Write Inquiry Scan Activity","","",""
"98","23:52:30.474875","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Inquiry Scan Activity)","","",""
"99","23:52:30.475811","host","controller","HCI_CMD","5","Sent Write Scan Enable","","",""
"100","23:52:30.480205","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Scan Enable)","","",""
"101","23:52:30.481165","host","controller","HCI_CMD","19","Sent LE Set Advertising Parameters","","",""
"102","23:52:30.482190","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Advertising Parameters)","","",""
"103","23:52:30.483097","host","controller","HCI_CMD","5","Sent Write Scan Enable","","",""
"104","23:52:30.484262","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Scan Enable)","","",""
"105","23:52:30.485115","host","controller","HCI_CMD","8","Sent Write Inquiry Scan Activity","","",""
"106","23:52:30.487277","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Inquiry Scan Activity)","","",""
"107","23:52:30.488567","host","controller","HCI_CMD","5","Sent Write Scan Enable","","",""
"108","23:52:30.489588","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Scan Enable)","","",""
"109","23:52:30.491423","host","controller","HCI_CMD","36","Sent LE Set Advertising Data","","",""
"110","23:52:30.492539","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Advertising Data)","","",""
"111","23:52:30.493628","host","controller","HCI_CMD","19","Sent LE Set Advertising Parameters","","",""
