"No.","Time","Source","Destination","Protocol","Length","Info","Data","Data Length","Bytes"
"133","02:04:11.758164","host","controller","HCI_CMD","19","Sent LE Set Advertising Parameters","","",""
"134","02:04:11.759915","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Advertising Parameters)","","",""
"135","02:04:11.761229","host","controller","HCI_CMD","5","Sent Write Scan Enable","","",""
"136","02:04:11.763070","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Scan Enable)","","",""
"137","02:04:11.764811","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","","",""
"138","02:04:11.767281","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","",""
"139","02:04:11.768355","host","controller","HCI_CMD","17","Sent Create Connection","","",""
"140","02:04:11.771291","controller","host","HCI_EVT","7","Rcvd Command Status (Create Connection)","","",""
"141","02:04:11.811981","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","","",""
"142","02:04:11.814494","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","",""
"143","02:04:11.838633","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","","",""
"144","02:04:11.841281","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","",""
"145","02:04:11.898978","host","controller","HCI_CMD","11","Sent LE Set Scan Parameters","","",""
"146","02:04:11.901565","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Parameters)","","",""
"147","02:04:11.902719","host","controller","HCI_CMD","6","Sent LE Set Scan Enable","","",""
"148","02:04:11.905066","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"149","02:04:11.907186","host","controller","HCI_CMD","6","Sent LE Set Scan Enable","","",""
"150","02:04:11.909222","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"151","02:04:11.910137","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"152","02:04:11.910911","host","controller","HCI_CMD","11","Sent LE Set Scan Parameters","","",""
"153","02:04:11.913237","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Parameters)","","",""
"154","02:04:11.914141","host","controller","HCI_CMD","11","Sent LE Set Scan Parameters","","",""
"155","02:04:11.919467","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Parameters)","","",""
