"No.","Time","Source","Destination","Protocol","Length","Info","Data Length","Data","Bytes"
"117","07:23:08.922345","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""A""","","",""
"118","07:23:08.923623","WbElectr_00:12:4a ()","localhost ()","SPP","17","Rcvd ""TI\\r""","","",""
"119","07:23:08.927392","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""E""","","",""
"120","07:23:08.928594","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""L""","","",""
"121","07:23:08.929824","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""M3""","","",""
"122","07:23:08.931062","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""2""","","",""
"123","07:23:08.931789","localhost ()","WbElectr_00:12:4a ()","RFCOMM","14","Sent UIH Channel=1 UID ","","",""
"124","07:23:08.932486","WbElectr_00:12:4a ()","localhost ()","SPP","21","Rcvd ""7 v1.5\\r""","","",""
"125","07:23:08.952301","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"126","07:23:08.953158","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""\\r>""","","",""
"127","07:23:09.045038","localhost ()","WbElectr_00:12:4a ()","SPP","18","Sent ""STI\\r""","","",""
"128","07:23:09.047328","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"129","07:23:09.049896","WbElectr_00:12:4a ()","localhost ()","RFCOMM","15","Rcvd UIH Channel=1 UID ","","",""
"130","07:23:09.051212","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""S""","","",""
"131","07:23:09.052437","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""TI""","","",""
"132","07:23:09.053721","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""\\r""","","",""
"133","07:23:09.054962","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""?""","","",""
"134","07:23:09.056894","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""\\r\\r""","","",""
"135","07:23:09.058535","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd "">""","","",""
"136","07:23:09.060946","localhost ()","WbElectr_00:12:4a ()","RFCOMM","14","Sent UIH Channel=1 UID ","","",""
"137","07:23:09.083652","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"138","07:23:09.147977","localhost ()","WbElectr_00:12:4a ()","SPP","19","Sent ""ATSP6\\r""","","",""
"139","07:23:09.164768","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"140","07:23:09.166066","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""A""","","",""
"141","07:23:09.167313","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""T""","","",""
